id,city,country,street
2155,AGDYNLKNOFJOZCE,PORTUGAL,RULKWQJCKIS
2156,PBPEUKGCGEH,ROMANIA,HDCGJOXDKBS
2157,BFAYDW,AUSTRIA,GS
2158,YXEPBB,FRANCE,SCQDQSZI
2159,STV,FRANCE,VYRCNXTLEN
2160,XORBLQCPJ,GERMANY,WIWLYMJTO
2161,UVIUU,GERMANY,LWQ
2162,WUUOWACPVKJC,GERMANY,CDMXJUCPGJAKFH
2163,SXXUGGZXN,AUSTRIA,FJNYHALRIYTZ
2164,GBA,ITALY,XCYMVAXRU
2165,MH,ITALY,NVRLVXRDIRZWVW
2166,OSVWEA,ROMANIA,ICXMYPIV
2167,XI,PORTUGAL,CNHPT
2168,NMMUN,GERMANY,SOELCFIQBLYJ
2169,JNAOXNKK,PORTUGAL,GJXCK
2170,RHHORZHPW,SPAIN,JB
2171,BLWFXFS,HUNGARY,SHIZBKXTGEOIW
2172,YQEECNORH,ROMANIA,EBVOVDCVBHJ
2173,NLMETWORJOVZEN,ITALY,KG
2174,IISETOREQKUUX,ITALY,KGJJXBWZUNRL
2175,YUFEAWLADCQJEK,SPAIN,OIXFONTNU
2176,PMGEVAETPQWG,SPAIN,YJSUJOOCW
2177,UM,FRANCE,OQX
2178,YA,SPAIN,RIG
2179,BDZMUYMOILBVB,PORTUGAL,GXFQCV
2180,YTZJ,AUSTRIA,JBOQ
2181,LJWKBLN,ITALY,XVGXAVAY
2182,"",PORTUGAL,MFT
2183,WDWHKTRQRGVNQI,GERMANY,JWOVPVVPTGTKW
2184,QTXSNIGAQIOQGZ,HUNGARY,HKLDVQMKNENIUC
2185,WLRALAPZXND,PORTUGAL,DIDVDDJ
2186,OQEZIXOE,ROMANIA,BGQHDJ
2187,UBE,HUNGARY,WKE
2188,KPSX,GERMANY,AQGDOROIIPXRI
2189,XKMK,ITALY,ORRSEEMOLY
2190,GWLGKSGL,HUNGARY,ODSQFCQ
2191,MIRWEBC,GERMANY,JQRSLWHC
2192,FHGNGANM,FRANCE,GLQAGBQM
2193,BEJGVQ,ROMANIA,XOZSMWT
2194,YICJ,HUNGARY,UDMWLNKAG
2195,OJC,ROMANIA,UMEOWTPRLDX
2196,QM,FRANCE,OKLZJCTAJ
2197,SWYA,AUSTRIA,OG
2198,LHEJGVEGPRMRPLZ,ITALY,WNTEOYYVHDAA
2199,QURBG,SPAIN,BARVDRDKY
2200,PTOOG,ROMANIA,GMUXXGMJAOKVX
2201,YIW,SPAIN,Z
2202,FSWMYFZGNVHQ,ROMANIA,K
2203,X,ROMANIA,HHWPUMF
2204,LBTXRX,SPAIN,XRNRZJU
2205,UZUXTXOFUSJCW,ROMANIA,HO
2206,VIFD,HUNGARY,SONPPPKWNFQNY
2207,OPPMBET,AUSTRIA,TJHMSS
2208,DF,ITALY,LBHNIPEA
2209,GFBCCBTCROFBL,GERMANY,ITRLGENWAC
2210,NPPDOHCTU,GERMANY,""
2211,YLEHPYPXLHXR,ITALY,MEEYTTSPSUUMDJ
2212,AXXFANIOFNOP,PORTUGAL,""
2213,SYQTSZKIF,ITALY,QRCYHENVCYWW
2214,YSABJQMPBG,FRANCE,REXYJLISACFQIL
2215,ODOSELTALTS,PORTUGAL,MGLTTBS
2216,QGDEVRINWWOSI,ROMANIA,BFMUOI
2217,XCUPO,FRANCE,SPYDXLCCWRL
2218,XR,ITALY,NMDMZF
2219,JMTBQPLBETBL,SPAIN,YYHIAP
2220,ILAHL,SPAIN,BUFYKGPDVH
2221,LKRPVXYWWCSMP,HUNGARY,I
2222,UY,PORTUGAL,ZCPFZMLMKDKQGFC
2223,YNEDACQ,FRANCE,O
2224,EWQRDBKUPD,HUNGARY,REVFWMO
2225,HVJKCAVELS,HUNGARY,OQWPYL
2226,H,HUNGARY,Y
2227,UQLF,HUNGARY,HEYXGUBYDTX
2228,SQPHFE,ITALY,AETCCPAY
2229,OXIOEAAZWFIO,SPAIN,F
2230,USUYG,PORTUGAL,ZYOXUQBOFV
2231,"",GERMANY,HFGPP
2232,ONRXHFOVJW,ITALY,K
2233,EGBMCRVIOUETHR,FRANCE,KTQEML
2234,"",PORTUGAL,YPHLNCHASM
2235,CTPJYSQDLM,ITALY,KI
2236,CNSFTQLKHBLW,SPAIN,RUQSOYKEBLEBK
2237,LTIPG,ITALY,KBSHRCQWSOBFT
2238,WVFSHGS,FRANCE,JHL
2239,CEUPLVTZZBZYR,GERMANY,PPLKUKOGG
2240,YIP,FRANCE,QAF
2241,QRMFWMAJANSJCW,HUNGARY,TEJUJLPWAUSQ
2242,INGKJBRXUXM,HUNGARY,KGZCRGHVFGC
2243,ZKTMOSFHNGLKKJ,SPAIN,ZWF
2244,MZQBOPYB,ITALY,HNDVDOVY
2245,UUM,PORTUGAL,ZIXTTZ
2246,PESGAUJEKTMM,PORTUGAL,AGYQ
2247,JIKVFWDYXZRIIL,AUSTRIA,PDWRMYQTAPN
2248,PAHW,ITALY,HGVBWFELMUPVQZ
2249,CQTOP,GERMANY,TY
2250,OJWUCJOW,FRANCE,WZUUFGTFVFSHX
2251,AAAGTINCX,PORTUGAL,DXF
2252,XTNLOKBR,FRANCE,C
2253,WKLCSUXIUBCTD,PORTUGAL,FLJLBPWB
2254,KUCNZYSQT,GERMANY,XTH
2255,QIDBB,FRANCE,LYJBBNWY
2256,HIEACLFREL,PORTUGAL,PMAHNETX
2257,PIHRTLO,SPAIN,KLXYTUDMVD
2258,CENHQBBXRYQOML,ROMANIA,""
2259,KDSFWEBIPEP,AUSTRIA,KOURXIVCS
2260,CYMQIGSR,HUNGARY,IZZXQF
2261,AIPH,HUNGARY,BHEXGQTBLNG
2262,KSHZSLFRG,HUNGARY,R
2263,BHZMTNDNTEXZAJ,PORTUGAL,DGAHJOYSW
2264,POUEQW,SPAIN,YCSLZGSCUI
2265,GQLEECSAXJHJ,HUNGARY,FVIVMAXLBO
2266,"",SPAIN,XBOWEUHW
2267,GYG,FRANCE,LGG
2268,VZWDAM,SPAIN,TLWK
2269,IGKVMNYBNJ,GERMANY,WUMLJ
2270,GVIVP,PORTUGAL,PPYLSDIXS
2271,BHVVHQTR,ITALY,ATABXX
2272,MJD,ITALY,CCHEVFVRXDHIU
2273,DZLKHIYUH,ROMANIA,LFWAYAMZP
2274,ZMJ,HUNGARY,JZXPUATRX
2275,KNGVTGTWPACO,FRANCE,IUUMB
2276,M,ITALY,YQFRGGXD
2277,PSQGBULI,GERMANY,TOGGRBJNQCGD
2278,BR,FRANCE,FBRCQYR
2279,SZ,HUNGARY,W
2280,ODWUNKLZNSPC,PORTUGAL,UG
2281,NSJSQXWO,PORTUGAL,YGDWOCS
2282,KZMLLMBBJB,FRANCE,QMWQZDLJD
2283,I,GERMANY,KRCNLC
2284,CPVKG,FRANCE,AROMHEAOGWM
2285,KBJVONSXQYP,PORTUGAL,WVQOOYYGFJLX
2286,FBNQFHYZ,FRANCE,GDPYWGMPA
2287,XPSUPOYFUO,ROMANIA,CRLDHNXVTZVRL
2288,GQGBUTFYXIHSUD,ITALY,QRJSBKH
2289,TVJHDS,PORTUGAL,VW
2290,UMWCARIWCM,PORTUGAL,BOGSH
2291,FTUZPNMZ,AUSTRIA,MTTEDNIGZZ
2292,MGLAOSYHU,AUSTRIA,IQTNVE
2293,UFZNKGHLU,PORTUGAL,APU
2294,GNJEDJNMVY,AUSTRIA,TQBNQPFNV
2295,NPWYGICKNB,AUSTRIA,OBVDAOBUHPF
2296,QLOAFUHQWLEB,HUNGARY,GV
2297,DOLDZPGM,FRANCE,PDYMA
2298,TMVVYRKVKGHH,PORTUGAL,CFMKRNEZ
2299,"",ROMANIA,BHRWCAMAPSVD
2300,AC,FRANCE,CAFQYM
2301,Y,PORTUGAL,DTAZSNCZFMHVPQ
2302,TVKLOEWBTJ,HUNGARY,ODQMCDRYUSIILWP
2303,FQZSCJVLWOVPVC,PORTUGAL,IT
2304,SE,ITALY,AVSAFGGE
2305,FSSGZXC,HUNGARY,QTLJDUPUNKHAZR
2306,"",ROMANIA,DESGMUBRCKSH
2307,MO,SPAIN,VIEKSUAFOWYSA
2308,"",GERMANY,BGW
2309,LJ,SPAIN,VHHMTO
2310,YKIXVMIVHC,ITALY,WZV
2311,IPFZFMDHXF,GERMANY,XIIPIB
2312,NKWMPPD,AUSTRIA,EFMBWAKQIN
2313,VHHQAD,GERMANY,FDEIOUDU
2314,XK,ROMANIA,VQLZWWFMYA
2315,SARX,ROMANIA,IPJFNW
2316,"",AUSTRIA,ICPCLBS
2317,ZBCYBQLIDDDGX,FRANCE,HPDORGKRIQIX
2318,HHYUICK,SPAIN,MZXNAWK
2319,NJNSG,ROMANIA,IGNMXDYW
2320,TWSAPBCZQ,SPAIN,YQFAAHLDC
2321,VLLFHKMVSVRB,ITALY,WEHNQICXJIH
2322,HUEOMZEYEHLFZ,ITALY,QHD
2323,RKSUI,AUSTRIA,KGSFCJIJSGOMGG
2324,WMVUDWNYBB,FRANCE,QCGQU
2325,VFJW,FRANCE,""
2326,QFFLIHQATRI,PORTUGAL,UYZYCMNDY
2327,QHDAXSQIBE,ITALY,BNLXIJWLI
2328,L,AUSTRIA,DQSNICQ
2329,MMTZRBFTJIAXG,ROMANIA,DCFJDH
2330,OKJMIHUUQ,HUNGARY,V
2331,MFZWQWQHRCYK,PORTUGAL,""
2332,EZSWYNVQMPMH,HUNGARY,BAALWUSDFXRPB
2333,KY,FRANCE,DXHSQUWK
2334,IMWIMXVGVF,SPAIN,YVQTVFOTXY
2335,JI,ROMANIA,""
2336,ACCXJALTSNAFCU,GERMANY,FNGRIXLKC
2337,ISKLPHT,SPAIN,EBYELJBOLAEP
2338,MADORJO,ITALY,F
2339,LASRVJ,PORTUGAL,RUJRNGFGMLRGU
2340,TRXERRNCIA,GERMANY,RTUZZRCZMQK
2341,WGPVRQSRVBDCXVE,AUSTRIA,LIKU
2342,HURPWSMP,FRANCE,K
2343,IZLNBX,FRANCE,HTSXUQWOBDA
2344,LZ,FRANCE,MYWZVOWMUE
2345,"",AUSTRIA,RT
2346,HMVDEU,ROMANIA,YSICLRUVAD
2347,EQNVCH,PORTUGAL,IARRZRV
2348,GULG,ITALY,JOJIULA
2349,PMDK,ROMANIA,PATQMJ
2350,T,SPAIN,WH
2351,PPKFTSKBA,ITALY,TTAIGPTEUB
2352,QOYEK,HUNGARY,APEQRGLKGWIZ
2353,FFBVIGWGFX,FRANCE,RUVMNMME
2354,AONTENRUVGY,ITALY,JQOANUP
2355,UZSIB,ITALY,UEY
2356,UCBYEEDCANYG,GERMANY,""
2357,YHDNDOXTJQEP,SPAIN,JAHHA
2358,WI,AUSTRIA,MPJHYPVLAUWYSTG
2359,GJXOD,PORTUGAL,VVA
2360,MXJLCACCHLLYE,ROMANIA,GVYNG
2361,FOKJ,GERMANY,L
2362,FJRZBEPH,HUNGARY,QNKWAPHTJ
2363,YKOQOZCICZI,ROMANIA,KJMRWDILRMHJWYY
2364,FNGKX,FRANCE,XMAWFYWGPRHQL
2365,GSPQVB,PORTUGAL,RJKYFMZXLAHZF
2366,ARFLOVOXPZRO,AUSTRIA,ERXMT
2367,YTDWVNTKYNE,ITALY,E
2368,EBH,PORTUGAL,WMWKNIYWB
2369,WCIVTDGA,SPAIN,MIECHRPMAFNFGN
2370,NJ,ROMANIA,HZGQWKMBJXRJ
2371,QPSMPCMSTKAVU,PORTUGAL,TRCFOERUGQMV
2372,"",ROMANIA,MEXCGPH
2373,"",SPAIN,NGRPEOIFE
2374,TTAWT,SPAIN,RMPEGLTPX
2375,LO,PORTUGAL,SVWTDEUUGN
2376,LFFJPIBBPEAWI,FRANCE,WECXE
2377,BGMKGSIOHSTO,GERMANY,FTLNQ
2378,MEWWMKRGEDZR,AUSTRIA,FF
2379,KHJIJSGNMKRKZX,AUSTRIA,MRGPTDTVFV
2380,BUDYV,ROMANIA,NPCUXUGFXMG
2381,XUNAIKPHCMLPJQ,ITALY,TRKDHCQWCN
2382,OHRJQGRESASWVK,GERMANY,PNTVKNFJ
2383,ZBFURADMZX,PORTUGAL,JRL
2384,VKBNCLDRZAYEQI,FRANCE,HTHVB
2385,ZWAMGYRFYYD,ITALY,TBR
2386,RPFHRHMAWM,HUNGARY,SX
2387,YO,AUSTRIA,U
2388,SZIYPJPTE,ROMANIA,AQAL
2389,LGPDWNNLOCYMR,FRANCE,E
2390,SQREXXYYYB,ROMANIA,ESDNWPYE
2391,SZBHDNBGUMIWYW,SPAIN,BG
2392,UJMNB,ITALY,V
2393,VJ,ROMANIA,IBV
2394,XTS,PORTUGAL,OUPKMOLOJV
2395,SFYRDXAOUURIYH,SPAIN,NJQBORBZBBUDW
2396,ZISTSPH,AUSTRIA,ZOAWMJFFAJCA
2397,YVMGYRVTVVWD,ROMANIA,""
2398,RCUPJDU,GERMANY,CAEGXGTEDNUKID
2399,PWJVAEGTSWSL,ITALY,EKKLCERIDVNRNY
2400,MV,GERMANY,FNQJZKOTUBHY
2401,YNZZUOKLCHCAUNR,PORTUGAL,JQAXTMIFAY
2402,FRVROA,AUSTRIA,BCSNYAXPW
2403,ABOXBAJCKCAKWK,SPAIN,CG
2404,XCNGNDVUXH,FRANCE,UP
2405,FCMCOVCT,ITALY,DDLYDQHD
2406,NFOBIMXGDMB,ITALY,LOYFDJKB
2407,ZOQOVIEYPJN,AUSTRIA,CJOA
2408,HFXRGESND,HUNGARY,FRH
2409,OCRODUDGGUT,SPAIN,DRCCL
2410,ZSBTSYLJCNL,SPAIN,YYGKVGAGKPTCR
2411,KIYLITNNCP,FRANCE,IJXOTLQSOAWAHB
2412,S,HUNGARY,PTSSKQD
2413,YOUJRMVLYBGXRV,AUSTRIA,MAVKWNR
2414,A,SPAIN,EUVOYMWFJ
2415,QOFP,FRANCE,OWGYAHV
2416,SXGQPVBABFPQ,GERMANY,UOQWBI
2417,ZDCPI,SPAIN,MAOFZBF
2418,"",GERMANY,YPCHXPROAL
2419,WQCNFD,ITALY,QMGW
2420,CPSZEDURV,FRANCE,TEPD
2421,TD,ROMANIA,JYSF
2422,AFSVM,HUNGARY,YPBJINHQLK
2423,BEII,FRANCE,GPELTM
2424,WUXT,PORTUGAL,AG
2425,KOOIMRD,AUSTRIA,XZZJGHMTP
2426,HAALKVFO,ROMANIA,RMGGPY
2427,EIZJRC,ITALY,UOOYIB
2428,YJFHTKJFLHRMYA,AUSTRIA,FOZEUJTPMYEWZG
2429,RRC,ROMANIA,UNS
2430,HKLYUPTXKHG,AUSTRIA,QZHDNTFSFGR
2431,YD,GERMANY,GRYCDOBDPAUQTE
2432,BHE,PORTUGAL,FUAFFJIZ
2433,SXKTZSCK,ROMANIA,ABYSMVUHYWVASH
2434,DVOZ,GERMANY,GVK
2435,KYLGNTTONM,SPAIN,LYWLCPUJ
2436,NVWI,SPAIN,CYKDFAWOUU
2437,LWMZBV,ROMANIA,FYYSJEJTHHPLT
2438,WSAJQXIVUNMDQ,GERMANY,CRI
2439,"",ROMANIA,AYXVIFIGVOIR
2440,AZBKJYWTMDR,SPAIN,LNQULWZQMXPQRC
2441,QFVNH,AUSTRIA,A
2442,BN,GERMANY,UQYEQNZE
2443,YVZUBWGF,PORTUGAL,JKAWETEPEGGG
2444,GCVY,AUSTRIA,MYOHLZHPBJMR
2445,CAVLVUCNO,SPAIN,QQSC
2446,QEZQDHW,SPAIN,MUNUXLY
2447,CDCHNM,AUSTRIA,XMYE
2448,DCVVLFQ,ITALY,QKQPBLYCP
2449,SWXTYIT,AUSTRIA,UZNOLKHVNHRJ
2450,NCGPSIPMZFRYH,HUNGARY,DBBBHPYEMHQ
2451,QS,PORTUGAL,JLREJN
2452,FZANVPIDCMS,AUSTRIA,NUNXDLLRU
2453,GSLI,PORTUGAL,ZMYAPHSPKKHGIA
2454,NJZWGPJ,GERMANY,TKS
2455,TXVGDGV,FRANCE,PFIP
2456,D,ITALY,ORFEYT
2457,QIOE,ITALY,YWTLPAZIP
2458,FRC,AUSTRIA,OWNOMVDNI
2459,YWXEOCHLUQU,AUSTRIA,EGWLJLNP
2460,UNUUAEUSM,ITALY,KPOXIETGUCRZ
2461,KRWYXCXNCI,ITALY,LJNNFEA
2462,MSFLGPPNWCJKJW,AUSTRIA,VNMZJJ
2463,JV,FRANCE,UFXFVIIR
2464,XQHG,GERMANY,QIPQ
2465,USAYTI,ROMANIA,MDAAV
2466,DNR,ROMANIA,TPSZMBT
2467,KLUGN,SPAIN,KHQYLN
2468,CNTPKMVPEUNLC,SPAIN,LMCTWWRAMEZCZ
2469,MBPEACOJQPY,AUSTRIA,ZMF
2470,BEVCYYAK,FRANCE,HXMKRSGJ
2471,JAPELPS,ROMANIA,JHTNPLGFVSYCRM
2472,JZMRQYCHWHHZHU,AUSTRIA,TKSIOPBNR
2473,GYFZEV,ITALY,PPQNOXWOYQBN
2474,GNRBJI,ROMANIA,FWSJXDN
2475,PTXO,HUNGARY,JOIYWWFWCEYXG
2476,SESQYKTZZ,GERMANY,HTFQLGCBAYNB
2477,BRKPGMLY,ITALY,WKW
2478,QVHOKW,HUNGARY,PRILUCM
2479,KNFTPJYEWFC,ITALY,MX
2480,FWFQRYA,GERMANY,UXHKSPAMCMTHEO
2481,RUAOCLMVZWE,HUNGARY,AXH
2482,RZMSMHSFKM,ITALY,FMTNRCKA
2483,XUAZND,PORTUGAL,KXG
2484,NGFXUM,HUNGARY,UF
2485,EMQUM,SPAIN,FYTCGVUKWPD
2486,KFFTMLB,ROMANIA,CSTJKIMK
2487,EZOAKUG,PORTUGAL,CVDAYNQFHWF
2488,YYFYLH,ROMANIA,PRVTBRQXKRTO
2489,GXWMV,SPAIN,MXOSVHC
2490,FIHBFYRGQJVJEB,FRANCE,UXZUI
2491,RBWFISZKNZBF,SPAIN,SWTX
2492,VSGMOXYBT,ITALY,UHBNNEFSRNEN
2493,VOQZOYEFZ,PORTUGAL,LOUEXGUG
2494,MOJYFNXZBGTRK,HUNGARY,VDOHPSEMPOCSIJN
2495,WNBTZSSACMQVKE,ROMANIA,LLEUIBUGPB
2496,JUFZQUFP,GERMANY,FL
2497,KLGORI,ITALY,CYCLUMAIMSKSIX
2498,DWVVGX,HUNGARY,CWPPWATEGDZ
2499,NBQXXMLLQEXT,PORTUGAL,ALTUYBWNWQAH
2500,DMBPRFCEIQXY,HUNGARY,LPKQ
2501,MIP,GERMANY,BSOWLJNYVAO
2502,G,AUSTRIA,XSUXD
2503,RCAVAWGCKRYN,PORTUGAL,CWTJ
2504,Z,FRANCE,S
2505,ITLJVXXX,ITALY,UYORY
2506,MQHAMYF,AUSTRIA,U
2507,EKOLCWUBIWK,AUSTRIA,RHLVDBCMSNYEUQ
2508,EDWSOUWDFS,FRANCE,BMVUVMXK
2509,UG,ITALY,SEQYQNKAUXZEENL
2510,TKLQLSVATRLR,GERMANY,EOFFX
2511,NSRANIDUERUGQ,HUNGARY,QCJPALWQFA
2512,IPBXS,SPAIN,ECFW
2513,YATM,FRANCE,JKTCAJREKULSUV
2514,FWMYEYKBDATHO,FRANCE,""
2515,JMPPD,HUNGARY,RQRFJMPE
2516,PYJBLNSURUSV,AUSTRIA,VCKMD
2517,IFH,ROMANIA,UWNDNZKUEWKB
2518,TOQCG,HUNGARY,VGTPYNKEPPNHV
2519,NZJCQM,HUNGARY,TDBPICUQXSYJ
2520,SZNCQ,GERMANY,QCSVOAIWVUEGIZ
2521,PORFDDONC,SPAIN,CQGWETFVDH
2522,JGPFFW,PORTUGAL,UB
2523,W,ROMANIA,LKQZYWWDDM
2524,KPL,FRANCE,OUCMUZFBB
2525,QTWMBRGEOFN,HUNGARY,QFZOCDNYHAUHIQ
2526,XUDYJV,PORTUGAL,WDUBUUKCLR
2527,BLFPASU,SPAIN,NGM
2528,YJYDJ,PORTUGAL,SXLVXPJCGLG
2529,CVIEVCIW,GERMANY,IDQ
2530,SGF,FRANCE,OFFUCQAMXXOZUBP
2531,LZSTE,PORTUGAL,UZKZVQIYFTHCFWH
2532,MAWXIBHSPEFJ,HUNGARY,RER
2533,TD,ITALY,YPWIKUZI
2534,NJCJFFAAIUJYZK,ROMANIA,BJQGU
2535,FVSSORNJXVU,GERMANY,NYCAU
2536,APBXSOW,SPAIN,M
2537,"",ROMANIA,""
2538,GA,PORTUGAL,BQOBRYOCGTLN
2539,S,ROMANIA,EDEYHEPYV
2540,BTXVUDQL,SPAIN,PNFADDY
2541,PGJLEZOGGZ,GERMANY,SXQAWFEEWDIF
2542,SSJJKHCCFTGBD,SPAIN,KC
2543,HZT,AUSTRIA,ABF
2544,LJ,SPAIN,CAWEPQINWCO
2545,CCLIBUX,ROMANIA,OMD
2546,VDMYBPOWUGVHE,HUNGARY,GUBGEBVGLBZK
2547,GLGUQGTOEWT,FRANCE,FWRAILDZPYENUR
2548,EKXETAG,ITALY,CNYJCJXXD
2549,IUPZLICZP,FRANCE,QGWCVO
2550,EMEWLRPM,SPAIN,LAFBCV
2551,YDJTOUWMJ,ITALY,RIREIU
2552,MTXGITQCPRNHHA,ITALY,TF
2553,CZQJCVR,AUSTRIA,MXDN
2554,UMQRJAJXVBOP,HUNGARY,ZEPFG
2555,FJTDZYXPNI,SPAIN,HIBDYINRLGV
2556,KBMLW,GERMANY,INZMUHJIMQLB
2557,LJBQ,FRANCE,BAEHY
2558,YCXOMATQXKB,PORTUGAL,EWZGA
2559,SWTRARBOA,ROMANIA,BYLBCK
2560,ZTBCQQWPHJIE,ITALY,GJ
2561,TWXVERLDYY,ITALY,V
2562,CDLIDNRHV,AUSTRIA,FXULTSCFCRP
2563,YYFO,ROMANIA,VNJOKLVTLSY
2564,DCMJJDBGTO,PORTUGAL,XWFZGLXODXGKG
2565,HXZLWCNWLMVZQD,SPAIN,S
2566,TVAM,GERMANY,GSVDXLOSGX
2567,ZUGFPSPWIZGX,ITALY,XBJUIYVNNR
2568,LXXXNIMEUQI,ITALY,X
2569,SFMLHYLHWOJESQ,HUNGARY,OUDHRCFFSAF
2570,NDUZXYZW,SPAIN,RVCKLHX
2571,OACKXPZSM,AUSTRIA,PJKPEGG
2572,VDUBFETTGZOHB,SPAIN,KZVRYZUZCPJWMC
2573,CNGWEWVHOXAO,GERMANY,SKLCJVJT
2574,JYUEGEVI,ROMANIA,AZGFXRUYVVE
2575,JYFIIKV,AUSTRIA,WHHJTVZPYVAFWU
2576,NOUTV,SPAIN,HAKKYKRQ
2577,JSL,ITALY,ENP
2578,VKISV,ITALY,WEX
2579,RYAFYQ,SPAIN,ANSTMNKMH
2580,CJPUORZKKUJN,GERMANY,C
2581,LDBNHRTODCH,FRANCE,ZQKXGZPXJI
2582,MICL,HUNGARY,N
2583,FCHUBXYGQEQLRG,PORTUGAL,MQXCQPWJKEMV
2584,IWSJE,PORTUGAL,JAYSPERLOBH
2585,VECYTCPLGP,ITALY,HSXFE
2586,VQ,GERMANY,R
2587,KRHNCZJSALQBBH,ROMANIA,MTAHKGLTURFUJSU
2588,CMXKSJ,GERMANY,W
2589,FURGIVMVMUFELJI,AUSTRIA,DHTQA
2590,IAQOL,AUSTRIA,CCWYASK
2591,MMSEMUWVPKESDB,ROMANIA,M
2592,"",GERMANY,UTTTTDYLNOMMSEB
2593,TMPK,GERMANY,KPNMTC
2594,ZXFBN,PORTUGAL,CSGOUKLP
2595,YXHJB,SPAIN,TNCICVDHA
2596,MPFQAFCRQIN,HUNGARY,LGTZBZGINASGMWY
2597,"",ROMANIA,KIXXN
2598,ZTKU,ROMANIA,DQDYRWFVXSIN
2599,ZBIMXLAN,AUSTRIA,CIRHVQNNUGG
2600,DTVHCCBKCMN,FRANCE,ISE
2601,WOEED,PORTUGAL,LQLOW
2602,FAGMDMCJNFHQKW,SPAIN,YQDPOD
2603,WICDISIWVRZYVD,PORTUGAL,RUADHFD
2604,LMTHWXPT,AUSTRIA,PHWRAA
2605,NGAEBEN,AUSTRIA,TNSOQXMQIUJ
2606,J,AUSTRIA,""
2607,WAWTURGBV,PORTUGAL,OASTUNFT
2608,NNQGZVBLU,SPAIN,HSJW
2609,WFLFOQUVEX,GERMANY,ANB
2610,SWMQHRYLN,GERMANY,XLZERFARH
2611,YO,SPAIN,OZKHWTTHCDVDCJ
2612,MF,AUSTRIA,HYWSLKMFEGNQ
2613,PBUXX,GERMANY,PWHIEOFWDN
2614,"",AUSTRIA,OOSJCUBTIEWAZ
2615,XEPQPGVMANHJX,HUNGARY,ZFCVVHCUMLU
2616,LWFPIDKQJ,PORTUGAL,WQOT
2617,HJPX,PORTUGAL,LNYUWZ
2618,PB,SPAIN,JNU
2619,VPUMKLLOBCC,AUSTRIA,FJXBUPN
2620,NTEUOIDPLNLCXM,PORTUGAL,XVLLSJCV
2621,FKEWKJETEK,GERMANY,OOFLPFLUSVO
2622,LWTKSJZBVD,HUNGARY,HLUZF
2623,LWFOK,ITALY,PGTPQBDNAC
2624,AVWWMACIOWJBE,HUNGARY,JGQXI
2625,VXHHFYSPB,HUNGARY,SNWCDHXI
2626,AZEUJWRRC,FRANCE,LFLLIAWNM
2627,U,SPAIN,HOUCVREYRQBWE
2628,UPZKA,ROMANIA,SFOXRV
2629,GVQZADRGYQ,SPAIN,VKXYXCS
2630,ZMXIKZFMTG,PORTUGAL,PUCVEKYAOJKT
2631,EB,ROMANIA,KKIRUOXNDRD
2632,D,PORTUGAL,MTENLIQUSYPQTFK
2633,TP,SPAIN,WADQE
2634,F,AUSTRIA,Z
2635,DVUXCA,PORTUGAL,OYYXFGBVMGJE
2636,CPXCRMQ,GERMANY,WFHTKDMMZDGOQNO
2637,UFEAQEJC,HUNGARY,ARWTGZCOFGY
2638,RCLIFKWOLTVYW,FRANCE,QA
2639,YRVXQDSKKABANO,FRANCE,QLPJA
2640,JTC,FRANCE,HHUJET
2641,GDTBMUMRVLR,FRANCE,VOXVJ
2642,RBEB,GERMANY,QSZZ
2643,K,HUNGARY,WKVKJNXSZ
2644,HJJMRK,SPAIN,VPBYLWZQX
2645,IRVCGIXTE,FRANCE,FAONRAJEOFBVQTV
2646,VKKTQZNVXOYX,AUSTRIA,NSAXWDEAC
2647,LORXPLDPEPRB,PORTUGAL,WLHVPDHHADYM
2648,YFSP,AUSTRIA,LWLTTZVX
2649,BKSDELNMIKJ,FRANCE,GGHQN
2650,COVVS,ROMANIA,NFKAVFEWH
2651,UXJBAEMNQVOLX,HUNGARY,ECKOYMSUKEECLQF
2652,JGWS,AUSTRIA,RXOSNRYE
2653,S,SPAIN,ENCGTDV
2654,PPRMGICB,ITALY,DQQRRG
2655,CAOFJIIZ,FRANCE,S
2656,DCR,AUSTRIA,A
2657,IFPFS,AUSTRIA,WVDSJVAQRMTMHC
2658,HSQVQVQJH,PORTUGAL,POBXR
2659,CMBOMEIHYTCGXX,PORTUGAL,SUXV
2660,MSQVSVSMIEH,GERMANY,XJLXZIVKYIRG
2661,JWMUYJMTEEKS,GERMANY,KZ
2662,XCYGQD,ROMANIA,YJMJZ
2663,CIQTTFCJEAORQWP,ITALY,IYJRMTUYIXOANO
2664,JEWXBSTC,AUSTRIA,IHMDHRNHCCCJ
2665,GNGCUKWR,PORTUGAL,EIIDHSEE
2666,UBGZQYAQACXM,HUNGARY,SC
2667,JIPZOIGWYTJ,FRANCE,M
2668,NIYTBS,HUNGARY,EYLIKIOAGH
2669,IXWZUZRPGZB,ROMANIA,YJGNJVMOKUZVQY
2670,XGGHI,SPAIN,SFZEVF
2671,YUTXBPDFKBC,FRANCE,DPXEUHIF
2672,QHKGW,AUSTRIA,KWUWOKALGEK
2673,TVNHKWNZGCNNLG,PORTUGAL,PAHFHBNPAZ
2674,WBWV,GERMANY,TH
2675,FLWPDXLNE,GERMANY,OUCTIZVXHAFXMW
2676,IJCWQXOJUZED,ITALY,SUBLXXWI
2677,HHLAOVHFSFKCWHE,FRANCE,RIXBXTDDTO
